time,count,p90,p99
1357710556000,1402,0.000604,0.001390
1357710557000,1104,0.000680,0.001792
1357710558000,1170,0.000670,0.001432
1357710559000,1320,0.000621,0.001636
1357710560000,1040,0.000615,0.001758
1357710561000,1189,0.000603,0.001652
1357710562000,1144,0.000607,0.001733
1357710563000,976,0.000576,0.001288
1357710564000,1037,0.000633,0.001487
1357710565000,1105,0.000612,0.001492
1357710566000,1035,0.000620,0.001829
1357710567000,1107,0.000683,0.001448
1357710568000,1222,0.000603,0.001714
1357710569000,1194,0.000686,0.001713
1357710570000,1223,0.000631,0.001718
1357710571000,1285,0.000617,0.001405
1357710572000,871,0.000594,0.001396
1357710573000,1095,0.000599,0.001588
1357710574000,958,0.000616,0.001562
1357710575000,1107,0.000684,0.001808
1357710576000,1256,0.000643,0.001540
1357710577000,1075,0.000611,0.001417
1357710578000,942,0.000666,0.001517
1357710579000,1005,0.000638,0.001646
1357710580000,909,0.000616,0.001455
1357710581000,1077,0.000667,0.001534
1357710582000,1118,0.000648,0.001355
1357710583000,1221,0.000628,0.001749
1357710584000,1202,0.000694,0.001855
1357710585000,1216,0.000621,0.001527
1357710586000,986,0.000622,0.001297
1357710587000,1364,0.000623,0.001724
1357710588000,732,0.000585,0.001750
1357710589000,907,0.000682,0.001285
1357710590000,1182,0.000655,0.001477
1357710591000,1200,0.000655,0.001396
1357710592000,1132,0.000612,0.001698
1357710593000,1118,0.000650,0.001436
1357710594000,1221,0.000714,0.001895
1357710595000,1629,0.000616,0.001502
1357710596000,1138,0.000690,0.001607
1357710597000,1252,0.000629,0.001478
1357710598000,1275,0.000648,0.001911
1357710599000,1005,0.000657,0.001488
1357710600000,1138,0.000722,0.001801
1357710601000,958,0.000762,0.001935
1357710602000,1221,0.000668,0.002028
1357710603000,1317,0.000654,0.001402
1357710604000,1101,0.000617,0.001990
1357710605000,1471,0.000642,0.001447
1357710606000,1237,0.000619,0.001546
1357710607000,1140,0.000627,0.001779
1357710608000,1034,0.000676,0.001602
1357710609000,964,0.000647,0.001612
1357710610000,1494,0.000644,0.001694
1357710611000,1278,0.000578,0.001593
1357710612000,1073,0.000632,0.001572
1357710613000,1222,0.000761,0.002832
1357710614000,1359,0.000593,0.001424
1357710615000,1396,0.000623,0.001725
1357710616000,1312,0.000648,0.001458
1357710617000,1198,0.000604,0.001605
1357710618000,1389,0.000655,0.001581
1357710619000,1239,0.000657,0.001609
1357710620000,1064,0.000608,0.001643
1357710621000,1244,0.000703,0.001829
1357710622000,1254,0.000580,0.001692
1357710623000,1427,0.000621,0.001674
1357710624000,1163,0.000698,0.001649
1357710625000,1263,0.000654,0.001650
1357710626000,1169,0.000653,0.001457
1357710627000,1079,0.000684,0.001449
1357710628000,1418,0.000635,0.001629
1357710629000,1225,0.000630,0.001619
1357710630000,1149,0.000640,0.001375
1357710631000,1171,0.000667,0.001795
1357710632000,917,0.000674,0.001945
1357710633000,1142,0.000592,0.001864
1357710634000,885,0.000594,0.001892
1357710635000,1235,0.000657,0.001673
1357710636000,1284,0.000631,0.001552
1357710637000,1158,0.000610,0.001539
1357710638000,1170,0.000625,0.001713
1357710639000,1278,0.000621,0.001415
1357710640000,1174,0.000636,0.001586
1357710641000,1277,0.000638,0.001339
1357710642000,1146,0.000676,0.001743
1357710643000,978,0.000618,0.001549
1357710644000,1202,0.000649,0.001869
1357710645000,1162,0.000638,0.001424
1357710646000,1267,0.000653,0.001668
1357710647000,1449,0.000634,0.001400
1357710648000,1027,0.000672,0.001959
1357710649000,1126,0.000619,0.001412
1357710650000,1051,0.000679,0.001844
1357710651000,1232,0.000689,0.001566
1357710652000,1147,0.000617,0.001613
1357710653000,1241,0.000646,0.001648
1357710654000,1218,0.000666,0.001616
1357710655000,1211,0.000686,0.001595
1357710656000,1117,0.000605,0.001407
1357710657000,1191,0.000632,0.001486
1357710658000,1157,0.000643,0.002425
1357710659000,1169,0.000632,0.001478
1357710660000,1091,0.000634,0.001476
1357710661000,1120,0.000668,0.001682
1357710662000,1253,0.000644,0.001519
1357710663000,1092,0.000634,0.001983
1357710664000,1282,0.000586,0.001655
1357710665000,1205,0.000630,0.001696
1357710666000,1279,0.000641,0.001415
1357710667000,782,0.000637,0.002095
1357710668000,1013,0.000688,0.002237
1357710669000,1104,0.000712,0.002123
1357710670000,937,0.000659,0.001387
1357710671000,1104,0.000630,0.001564
1357710672000,859,0.000644,0.001447
1357710673000,1046,0.000617,0.001609
1357710674000,1066,0.000631,0.001494
1357710675000,1093,0.000630,0.001770
1357710676000,1141,0.000636,0.001474
1357710677000,1264,0.000661,0.001424
1357710678000,1048,0.000704,0.002007
1357710679000,1176,0.001158,0.006585
1357710680000,1295,0.000649,0.001764
1357710681000,1118,0.000588,0.001448
1357710682000,959,0.000718,0.001888
1357710683000,879,0.000585,0.001592
1357710684000,978,0.000629,0.001539
1357710685000,922,0.000733,0.001974
1357710686000,1382,0.000642,0.002028
1357710687000,814,0.000683,0.002172
1357710688000,1022,0.000669,0.001667
1357710689000,1021,0.000630,0.001623
1357710690000,1112,0.000624,0.001848
1357710691000,764,0.000633,0.001562
1357710692000,1011,0.000611,0.002031
1357710693000,937,0.000595,0.003014
1357710694000,1100,0.000642,0.001662
1357710695000,1102,0.000699,0.001506
1357710696000,1051,0.000622,0.001594
1357710697000,1355,0.000651,0.001575
1357710698000,1185,0.000584,0.001719
1357710699000,857,0.000622,0.001591
1357710700000,975,0.000636,0.001540
1357710701000,971,0.000612,0.001548
1357710702000,1023,0.000657,0.001534
1357710703000,1284,0.000637,0.002069
1357710704000,1104,0.000568,0.001355
1357710705000,788,0.000662,0.001512
1357710706000,1070,0.000621,0.001332
1357710707000,1200,0.000644,0.001653
1357710708000,1016,0.000649,0.001537
1357710709000,1034,0.000656,0.001535
1357710710000,1410,0.000801,0.003180
1357710711000,1218,0.000646,0.001633
1357710712000,1012,0.000613,0.001732
1357710713000,1108,0.000612,0.002184
1357710714000,1144,0.000646,0.001754
1357710715000,1337,0.000661,0.001509
1357710716000,1095,0.000656,0.001653
1357710717000,958,0.000632,0.001483
1357710718000,1224,0.000663,0.001964
1357710719000,1217,0.000626,0.001775
1357710720000,1098,0.000614,0.001463
1357710721000,1011,0.000661,0.001465
1357710722000,784,0.000557,0.001552
1357710723000,1111,0.000661,0.001481
1357710724000,1017,0.000596,0.002058
1357710725000,805,0.000674,0.001370
1357710726000,737,0.000659,0.001545
1357710727000,1086,0.000680,0.001771
1357710728000,1099,0.000717,0.001581
1357710729000,828,0.000641,0.001455
1357710730000,1187,0.000613,0.001910
1357710731000,1116,0.000628,0.001573
1357710732000,890,0.000641,0.001549
1357710733000,1062,0.000600,0.002032
1357710734000,842,0.000591,0.001476
1357710735000,974,0.000648,0.001641
1357710736000,1224,0.000670,0.001595
1357710737000,945,0.000622,0.001503
1357710738000,1150,0.000639,0.001692
1357710739000,1109,0.000607,0.001341
1357710740000,1058,0.000600,0.001740
1357710741000,1117,0.000626,0.001669
1357710742000,1196,0.000619,0.001525
1357710743000,1179,0.000659,0.001781
1357710744000,1109,0.000640,0.002099
1357710745000,1178,0.000684,0.001558
1357710746000,1055,0.000632,0.001589
1357710747000,1172,0.000627,0.001652
1357710748000,1064,0.000601,0.001373
1357710749000,1112,0.000694,0.001697
1357710750000,1164,0.000645,0.001453
1357710751000,1331,0.000672,0.001745
1357710752000,981,0.000685,0.001695
1357710753000,922,0.000646,0.001894
1357710754000,1077,0.000717,0.002145
1357710755000,930,0.000644,0.001683
1357710756000,305,0.000914,0.002772
1357710757000,488,0.000852,0.001942
1357710758000,451,0.000976,0.003562
1357710759000,523,0.000869,0.003143
1357710760000,664,0.000887,0.002185
1357710761000,544,0.000916,0.002845
1357710762000,583,0.001051,0.002659
1357710763000,477,0.000850,0.003693
1357710764000,441,0.000937,0.003558
1357710765000,672,0.001072,0.005341
1357710766000,440,0.000961,0.004351
1357710767000,440,0.000981,0.003629
1357710768000,511,0.000986,0.002041
1357710769000,309,0.000887,0.002016
1357710770000,350,0.000859,0.001804
1357710771000,497,0.000783,0.002055
1357710772000,518,0.000885,0.002268
1357710773000,705,0.000916,0.002264
1357710774000,438,0.000870,0.003473
1357710775000,633,0.001034,0.002928
1357710776000,681,0.000814,0.002283
1357710777000,703,0.001065,0.002795
1357710778000,578,0.000864,0.003177
1357710779000,434,0.000980,0.003305
1357710780000,439,0.000851,0.003600
1357710781000,398,0.001081,0.002502
1357710782000,491,0.000782,0.001716
1357710783000,386,0.000789,0.002608
1357710784000,445,0.000877,0.002146
1357710785000,351,0.001005,0.002379
1357710786000,623,0.001026,0.002378
1357710787000,671,0.000876,0.002018
1357710788000,682,0.000895,0.003807
1357710789000,455,0.000975,0.001932
1357710790000,407,0.001940,0.003616
1357710791000,473,0.000817,0.002399
1357710792000,579,0.001000,0.002563
1357710793000,432,0.001100,0.005480
1357710794000,642,0.001021,0.005405
1357710795000,509,0.000886,0.006772
1357710796000,587,0.000943,0.002509
1357710797000,658,0.000758,0.002147
1357710798000,477,0.000934,0.003806
1357710799000,726,0.000996,0.003053
1357710800000,337,0.000975,0.002944
1357710801000,413,0.000836,0.002994
1357710802000,418,0.000975,0.001940
1357710803000,616,0.000835,0.002301
1357710804000,489,0.000769,0.002016
1357710805000,437,0.000883,0.002043
1357710806000,551,0.001015,0.002417
1357710807000,696,0.000913,0.002268
1357710808000,436,0.000813,0.002242
1357710809000,320,0.000812,0.002855
1357710810000,789,0.000872,0.002749
1357710811000,435,0.000921,0.002296
1357710812000,591,0.000946,0.001894
1357710813000,442,0.000864,0.002010
1357710814000,360,0.001058,0.010405
1357710815000,540,0.000836,0.001811
1357710816000,616,0.000818,0.001759
1357710817000,631,0.000874,0.002146
1357710818000,291,0.000879,0.001644
1357710819000,602,0.000888,0.002400
1357710820000,835,0.000967,0.002789
1357710821000,451,0.000748,0.002479
1357710822000,314,0.000887,0.002288
1357710823000,465,0.000958,0.003017
1357710824000,600,0.000840,0.002297
1357710825000,452,0.000928,0.003035
1357710826000,529,0.000861,0.002054
1357710827000,457,0.000903,0.001954
1357710828000,422,0.000794,0.002042
1357710829000,385,0.000903,0.003016
1357710830000,546,0.000941,0.002364
1357710831000,552,0.000928,0.003682
1357710832000,599,0.000981,0.002366
1357710833000,499,0.000838,0.004147
1357710834000,435,0.001043,0.002288
1357710835000,850,0.000864,0.002027
1357710836000,574,0.000921,0.002694
1357710837000,313,0.000860,0.002585
1357710838000,555,0.000912,0.002112
1357710839000,561,0.000864,0.002583
1357710840000,547,0.000887,0.002069
1357710841000,355,0.001027,0.002010
1357710842000,548,0.000955,0.005082
1357710843000,455,0.001047,0.003886
1357710844000,541,0.000878,0.002131
1357710845000,510,0.000911,0.001960
1357710846000,239,0.000859,0.002070
1357710847000,329,0.000841,0.002093
1357710848000,721,0.000975,0.002073
1357710849000,377,0.000889,0.002346
1357710850000,689,0.000931,0.002232
1357710851000,556,0.000886,0.001980
1357710852000,402,0.000930,0.002125
1357710853000,797,0.000818,0.001965
1357710854000,706,0.000842,0.002001
1357710855000,649,0.000936,0.002022
1357710856000,428,0.000909,0.004189
1357710857000,586,0.000924,0.001977
1357710858000,449,0.000871,0.002317
1357710859000,485,0.000877,0.001787
1357710860000,628,0.000925,0.001866
1357710861000,563,0.000969,0.002297
1357710862000,791,0.000965,0.003102
1357710863000,418,0.000766,0.002290
1357710864000,651,0.000886,0.002091
1357710865000,650,0.000951,0.002812
1357710866000,567,0.000872,0.002368
1357710867000,621,0.001036,0.004305
1357710868000,506,0.000934,0.001870
1357710869000,638,0.000853,0.001925
1357710870000,539,0.000800,0.001641
1357710871000,613,0.000937,0.002135
1357710872000,389,0.000946,0.001761
1357710873000,637,0.001059,0.009916
1357710874000,580,0.001037,0.002763
1357710875000,327,0.000802,0.001678
1357710876000,624,0.001013,0.002787
1357710877000,519,0.000907,0.005570
1357710878000,331,0.000790,0.001919
1357710879000,339,0.000764,0.002576
1357710880000,691,0.000921,0.002163
1357710881000,421,0.000946,0.001941
1357710882000,522,0.000841,0.001935
1357710883000,523,0.000907,0.001829
1357710884000,518,0.000904,0.002216
1357710885000,534,0.000894,0.001868
1357710886000,470,0.001013,0.002461
1357710887000,508,0.000802,0.001962
1357710888000,594,0.000858,0.001776
1357710889000,537,0.000836,0.001955
1357710890000,528,0.000914,0.003787
1357710891000,625,0.000887,0.002191
1357710892000,377,0.000870,0.002019
1357710893000,563,0.000926,0.002091
1357710894000,551,0.000983,0.003892
1357710895000,366,0.000892,0.002371
1357710896000,615,0.000893,0.001925
1357710897000,367,0.000793,0.001536
1357710898000,612,0.000909,0.002256
1357710899000,515,0.001011,0.002042
1357710900000,526,0.000986,0.001962
1357710901000,717,0.000992,0.004191
1357710902000,749,0.000955,0.001998
1357710903000,661,0.000890,0.003315
1357710904000,600,0.000863,0.001979
1357710905000,502,0.000829,0.001968
1357710906000,802,0.000901,0.002160
1357710907000,493,0.000731,0.001711
1357710908000,793,0.000890,0.001996
1357710909000,284,0.000780,0.002044
1357710910000,517,0.000668,0.001920
1357710911000,716,0.000868,0.002397
1357710912000,661,0.001004,0.002562
1357710913000,467,0.000838,0.002279
1357710914000,605,0.000810,0.002149
1357710915000,442,0.000919,0.002336
1357710916000,612,0.000841,0.002480
1357710917000,656,0.000737,0.002249
1357710918000,575,0.000875,0.002158
1357710919000,542,0.000809,0.002140
1357710920000,501,0.000768,0.001721
1357710921000,701,0.000880,0.002074
1357710922000,483,0.000729,0.001930
1357710923000,648,0.000832,0.001895
1357710924000,681,0.000881,0.002272
1357710925000,473,0.000819,0.002160
1357710926000,514,0.000841,0.002644
1357710927000,466,0.000883,0.001893
1357710928000,599,0.000870,0.001976
1357710929000,829,0.000871,0.002461
1357710930000,536,0.000915,0.001990
1357710931000,636,0.000865,0.002491
1357710932000,795,0.000862,0.002251
1357710933000,474,0.000919,0.002424
1357710934000,611,0.001050,0.003895
1357710935000,480,0.001101,0.002394
1357710936000,612,0.000825,0.002740
1357710937000,339,0.001001,0.003503
1357710938000,554,0.000854,0.002011
1357710939000,530,0.000994,0.002130
1357710940000,852,0.000838,0.002033
1357710941000,490,0.000985,0.002583
1357710942000,709,0.001282,0.109851
1357710943000,575,0.000819,0.002105
1357710944000,723,0.000786,0.002895
1357710945000,492,0.000803,0.002593
1357710946000,454,0.000888,0.002486
1357710947000,487,0.000837,0.002951
1357710948000,514,0.000865,0.001803
1357710949000,615,0.000827,0.001930
1357710950000,511,0.000767,0.003409
1357710951000,649,0.000847,0.002117
1357710952000,520,0.000864,0.002297
1357710953000,551,0.000779,0.002116
1357710954000,345,0.000949,0.002129
1357710955000,646,0.000817,0.002158
1357710956000,684,0.000837,0.003678
1357710957000,510,0.000875,0.002223
1357710958000,656,0.000822,0.001920
1357710959000,396,0.000849,0.002127
1357710960000,542,0.000977,0.002002
1357710961000,629,0.000849,0.001843
1357710962000,753,0.000950,0.002336
1357710963000,468,0.000827,0.002013
1357710964000,577,0.000941,0.002050
1357710965000,254,0.000777,0.001544
1357710966000,332,0.000879,0.003302
1357710967000,784,0.000976,0.002715
1357710968000,428,0.000786,0.001914
1357710969000,587,0.001000,0.002420
1357710970000,320,0.000802,0.002030
1357710971000,532,0.000925,0.002548
1357710972000,645,0.000917,0.002185
1357710973000,568,0.000830,0.001650
1357710974000,673,0.000919,0.002547
1357710975000,570,0.000914,0.002841
1357710976000,603,0.000833,0.002811
1357710977000,407,0.000843,0.002013
1357710978000,732,0.000915,0.002032
1357710979000,496,0.000769,0.001805
1357710980000,593,0.001042,0.002857
1357710981000,507,0.000873,0.002347
1357710982000,548,0.000932,0.003580
1357710983000,550,0.000818,0.002188
1357710984000,619,0.000872,0.002454
1357710985000,622,0.000899,0.002053
1357710986000,584,0.000890,0.002259
1357710987000,650,0.000866,0.002341
1357710988000,629,0.000936,0.002089
1357710989000,456,0.000758,0.003640
1357710990000,567,0.000796,0.001857
1357710991000,594,0.001133,0.003512
1357710992000,640,0.000876,0.001865
1357710993000,647,0.000876,0.005182
1357710994000,363,0.001039,0.002047
1357710995000,303,0.000841,0.002068
1357710996000,851,0.000859,0.002233
1357710997000,563,0.000837,0.002135
1357710998000,532,0.000892,0.002005
1357710999000,440,0.000659,0.001933
1357711000000,516,0.000868,0.002114
1357711001000,414,0.000839,0.001981
1357711002000,381,0.000863,0.001841
1357711003000,501,0.000943,0.002055
1357711004000,634,0.000967,0.001987
1357711005000,513,0.000887,0.001873
1357711006000,561,0.000970,0.002816
1357711007000,567,0.000898,0.002451
1357711008000,839,0.000867,0.002377
1357711009000,380,0.000840,0.002156
1357711010000,741,0.000780,0.002265
1357711011000,753,0.000844,0.002022
1357711012000,799,0.000923,0.003612
1357711013000,625,0.000820,0.001822
1357711014000,690,0.000950,0.010916
1357711015000,630,0.000816,0.002099
1357711016000,578,0.000802,0.002107
1357711017000,821,0.000915,0.002109
1357711018000,511,0.000791,0.001869
1357711019000,509,0.000978,0.003628
1357711020000,342,0.000942,0.002057
1357711021000,470,0.000947,0.002757
1357711022000,629,0.000942,0.002293
1357711023000,771,0.000919,0.002744
1357711024000,497,0.000948,0.002621
1357711025000,493,0.000777,0.001877
1357711026000,642,0.000841,0.002070
1357711027000,310,0.000797,0.002326
1357711028000,737,0.000884,0.002841
1357711029000,409,0.000858,0.002467
1357711030000,687,0.000870,0.002417
1357711031000,539,0.000740,0.001652
1357711032000,507,0.000845,0.002059
1357711033000,505,0.000955,0.001799
1357711034000,919,0.000981,0.002811
1357711035000,597,0.000805,0.003305
1357711036000,579,0.000825,0.002189
1357711037000,473,0.000889,0.002243
1357711038000,860,0.000987,0.002241
1357711039000,703,0.000722,0.002020
1357711040000,395,0.000878,0.001996
